STT,Summary name,Description,Steps to reproduce,Data,Expected Result,Mô tả lỗi,Hình ảnh/Flow lỗi(nếu có),GG Drive ,Priority,MT,Status,ReOpen,Ngày tạo,Hoàn thành,Ghi chú,Người tạo,Người sửa,Reply
1,Hệ thống cho phép tạo thư mục trùng tên nhưng không sinh thêm thư mục mới ,,"1. Đăng nhập vào hệ thống
2. Truy cập màn hình Thư viện của tôi
3. Tại tab Được tạo bởi tôi > Tất cả, click Tạo mới > Tạo thư mục
4. Nhập tiêu đề (ví dụ: TestFolder) và click Tạo mới
5. Xác nhận thư mục TestFolder được tạo thành công trong danh sách
6. Tiếp tục lặp lại Bước 3, 4 
7. Quan sát màn hình sau khi thực hiện Bước 6 ","TK: mxh04@el.net
MK: 123456","Hệ thống vẫn cho phép tạo thư mục trùng tên nhưng cần lưu ý: 
- Hiển thị cảnh báo: ""Thư mục có tên này đã tồn tại. Bạn có muốn tiếp tục tạo thư mục mới không?""
1. Nếu người dùng chọn Không, thao tác tạo sẽ bị Hủy
2. Nếu người dùng chọn Có, cho phép tạo và sinh tự động số thứ tự ở cuối tên (ví dụ: TestFolder (1))",,,MXH1.mp4,L,Thư viện,Pending,,02/10/2025,,,Hoa,Trịnh Trần Phương Chiến,
2,Counter tab filter bar không được cập nhật sau khi upload,"Khi người dùng tải (upload) một file mới, counter ở thanh filter này không tăng lên","1. Đăng nhập vào hệ thống
2. Truy cập màn hình Thư viện của tôi
3. Tại tab Được tạo bởi tôi > Tất cả, click mở Thư_mục_kiểm_thử
4. Quan sát counter tab filter bar
5. Click Tạo mới > Tải tài liệu lên > Chọn 1 file được hỗ trợ để đẩy lên 
6. Xác nhận tải lên thành công tại màn hình hiển thị danh sách
7. Quan sát counter tab filter bar sau khi tải lên thành công","TK: mxh04@el.net
MK: 123456",Counter tab filter bar (Tất cả / Bài giảng / Bài tập / Tài liệu) được cập nhật đúng số lượng tương ứng với nội dung vừa tải lên,,,,M,Thư viện,Ðã hoàn thành,,03/10/2025,08/10/2025,Hiện tại thì sẽ bỏ count của những phần đó,Hoa,Trịnh Trần Phương Chiến,
3,Sai điều hướng khi đăng nhập với tài khoản Học sinh,Đăng nhập tài khoản Học sinh điều hướng trang tới màn hình Lớp học của tôi ,"1. Truy cập trang Đăng nhập
2. Nhập thông tin Email / Số điện thoại, Mật khẩu hợp lệ 
3. Nhấn nút Đăng nhập","TK: lnkien@el.net
MK: 123456","Đăng nhập thành công. 
Hệ thống trả về màn hình tương ứng chức năng user (điều hướng tới màn hình Cộng đồng nội dung)",,,,M,"ĐN, ĐK",Ðã hoàn thành,,06/10/2025,08/10/2025,,Hoa,Trịnh Trần Phương Chiến,
4,Thông báo lỗi không rõ ràng và không highlight trường lỗi khi Đăng nhập thất bại,"Hệ thống hiển thị thông báo lỗi chung (Lỗi đăng nhập. Đăng nhập thất bại. Vui lòng thử lại.) và không highlight đỏ trường lỗi khi người dùng thực hiện các tình huống đăng nhập KHÔNG hợp lệ (tài khoản không tồn tại, nhập sai mật khẩu, bỏ trống trường nhập)","1. Truy cập trang Đăng nhập
2. Thực hiện các trường hợp sau:
- TH1: Bỏ trống cả 2 trường nhập
- TH2: Bỏ trống Email/SĐT
- TH3: Bỏ trống Mật khẩu 
3. Nhấn nút Đăng nhập",,"Hệ thống hiển thị thông báo lỗi rõ ràng, chính xác theo từng trường hợp, ví dụ:
- TH2: Vui lòng nhập Email/Số điện thoại 
- TH3: Vui lòng nhập Mật khẩu
Highlight viền đỏ vào các trường nhập bị bỏ trống hoặc sai.",,,,M,"ĐN, ĐK",Ðã hoàn thành,,08/10/2025,08/10/2025,,Hoa,Trịnh Trần Phương Chiến,
5,Không gửi được mã xác thực khi Khôi phục mật khẩu → Testcase bị Blocked ,"Khi người dùng thực hiện chức năng Khôi phục mật khẩu bằng Email hoặc Số điện thoại, hệ thống KHÔNG gửi được mã xác thực. Do đó người dùng không thể tiếp tục luồng đổi mật khẩu → Đăng nhập lại
Không có thông báo thành công cho hành động Gửi mã xác thực, Thay đổi mật khẩu ","1. Truy cập trang Đăng nhập
2. Nhấn Khôi phục mật khẩu 
3. Chọn cách thức lấy lại mật khẩu 
    TH1: Email
    TH2: Số điện thoại
4. Click Gửi → Quan sát hệ thống gửi mã xác thực và hiển thị thông báo gửi mã thành công
5. Nhập thông tin trong modal Mã xác thực 
    Mã xác thực: hợp lệ (được gửi về Email)
    Mật khẩu mới: hợp lệ (đáp ứng đúng yêu cầu đặt mật khẩu, khác mật khẩu cũ)
6. Click Gửi → Thay đổi mật khẩu thành công
7. Thực hiện Đăng nhập lại theo mật khẩu mới",,"4. Hệ thống gửi mã xác thực đúng theo phương thức đã chọn (Email hoặc SĐT) → Hiển thị thông báo gửi mã thành công → Người dùng nhận được Email/SMS chứa mã xác thực
6. Hệ thống hiển thị thông báo Thay đổi mật khẩu thành công
7. Người dùng đăng nhập lại thành công bằng mật khẩu mới",,,,H,"ĐN, ĐK",Thực hiện lại,1 🤥,08/10/2025,,16/10 RO,Hoa,Trịnh Trần Phương Chiến,
6,Input không được reset khi chuyển đổi giữa Email và Số điện thoại,"Khi người dùng đã nhập dữ liệu vào ô input (Email hoặc Số điện thoại), sau đó chuyển đổi radio sang phương thức còn lại, ô input KHÔNG được reset mà vẫn giữ nguyên dữ liệu đã nhập trước đó","1. Truy cập trang Đăng nhập
2. Nhấn Khôi phục mật khẩu
3. Chọn radio Email, nhập bất kỳ vào ô input 
4. Chuyển radio sang Số điện thoại
5. Quan sát ô input
6. Thực hiện ngược lại: nhập số điện thoại ở radio Số điện thoại → chuyển sang Email
7. Quan sát ô input",,"Khi chuyển từ Email → SĐT:
- Ô input được reset (xóa dữ liệu)
- Placeholder đổi sang Nhập số điện thoại
Khi chuyển từ SĐT → Email:
- Ô input được reset (xóa dữ liệu)
- Placeholder đổi sang Nhập email
Không phát sinh lỗi UI/console.",,,,M,"ĐN, ĐK",Ðã hoàn thành,,08/10/2025,09/10/2025,,Hoa,Trịnh Trần Phương Chiến,
7,Màn hình Đăng nhập xuất hiện thanh cuộn (scroll) ngoài mong đợi,"Tại màn hình Đăng nhập, giao diện xuất hiện thanh cuộn (scroll) theo chiều dọc trong khi nội dung hiển thị hoàn toàn có thể nằm gọn trong viewport","1. Truy cập trang Đăng nhập 
2. Quan sát giao diện hiển thị ban đầu mà không thực hiện thao tác nào khác
3. Kiểm tra thanh cuộn dọc trên trình duyệt
4. Thay đổi kích thước cửa sổ trình duyệt hoặc kiểm tra ở các độ phân giải phổ biến (1366×768, 1440×900, FullHD)
5. Quan sát xem thanh scroll có luôn xuất hiện ngoài mong đợi hay chỉ ở một số độ phân giải nhất định",,"Màn hình đăng nhập không có thanh cuộn dọc nếu nội dung nhỏ hơn hoặc bằng chiều cao viewport
Giao diện cố định, căn giữa đúng chuẩn, không bị “trôi” hoặc dư khoảng trắng.
Không có khoảng trắng không cần thiết ở cuối trang gây ra scroll",,,,L,"ĐN, ĐK",Ðã hoàn thành,,08/10/2025,09/10/2025,,Hoa,Trịnh Trần Phương Chiến,
8,Form Đăng ký tự động điền thông tin từ form Đăng nhập (Autofill sai),"Khi truy cập màn hình Đăng ký tài khoản, trình duyệt tự động điền (autofill) thông tin Email/Số điện thoại và Mật khẩu đã được lưu từ màn hình Đăng nhập trước đó vào các trường trong form Đăng ký","1. Tại màn hình Đăng nhập, đăng nhập thành công bằng tài khoản hợp lệ 
2. Đăng xuất và mở trang Đăng ký 
3. Quan sát form đăng ký: Các trường Số điện thoại, Mật khẩu xem có bị tự động điền hay không?","TK: mxh04@el.net
MK: 123456","Khi truy cập màn hình Đăng ký:
- Tất cả các trường phải ở trạng thái trống
- Dữ liệu đăng nhập trước đó không được autofill",,,,M,"ĐN, ĐK",Ðã hoàn thành,,08/10/2025,09/10/2025,,Hoa,Trịnh Trần Phương Chiến,
9,Không highlight đỏ viền input ở tất cả các trường có lỗi khi submit form Đăng ký,"Khi người dùng nhấn nút Đăng ký mà có nhiều trường bắt buộc chưa được nhập, hệ thống chỉ highlight đỏ viền ở một số trường, còn một số trường khác chỉ hiển thị dòng text lỗi bên dưới mà không có viền đỏ","1. Truy cập trang Đăng ký
2. Để trống trường Họ và tên và Xác nhận mật khẩu
3. Nhập dữ liệu hợp lệ cho các trường còn lại
4. Nhấn nút Đăng ký 
5. Quan sát trạng thái các trường báo lỗi",,"Tất cả các trường có lỗi (bỏ trống hoặc nhập sai) phải được:
- Highlight viền đỏ
- Hiển thị thông báo lỗi bên dưới
Cách hiển thị lỗi phải đồng nhất giữa các trường",,,,M,"ĐN, ĐK",Ðã hoàn thành,,08/10/2025,09/10/2025,,Hoa,Trịnh Trần Phương Chiến,
10,Thông báo lỗi không rõ ràng và không highlight trường lỗi khi Đăng nhập thất bại,"Hệ thống hiển thị thông báo lỗi chung (Lỗi đăng nhập. Đăng nhập thất bại. Vui lòng thử lại.) và không highlight đỏ trường lỗi khi người dùng thực hiện các tình huống đăng nhập KHÔNG hợp lệ (tài khoản không tồn tại, nhập sai mật khẩu, bỏ trống trường nhập)","1. Truy cập trang Đăng nhập
2. Thực hiện các trường hợp sau:
- TH1: Nhập Email/SĐT và mật khẩu chưa được đăng ký
- TH2: Nhập Email/SĐT hợp lệ, Mật khẩu sai
3. Nhấn nút Đăng nhập",,"Hệ thống hiển thị thông báo lỗi rõ ràng, chính xác theo từng trường hợp, ví dụ:
- TH1: Tài khoản không tồn tại trong hệ thống 
- TH2: Mật khẩu không đúng. Vui lòng kiểm tra và thử lại ",,,,M,"ĐN, ĐK",Pending,,08/10/2025,,"Hiện tại bên BE chỉ xác minh được xem tài khoản có tồn tại hay không thôi nên là TH1 với TH2 sẽ chưa thực hiện.
Th3, Th4, Th5 đã được hoàn thiện",Hoa,Trịnh Trần Phương Chiến,
