STT,Card,Tên,MT,Type,Priority,Status,Ngày tạo,Done,Reopen,Người tạo,Người sửa,Column 13,Note,,,,,,,,,,,,,,,
1,ESD-6,Remote Control,Smart,Bug,High,Chưa thực hiện,18/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
2,ESD-8,Room đang chỉ chuyển sang danh sách Passed khi hết 60 phút,Smart,Bug,High,Ðã hoàn thành,18/04/2025,06/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
3,ESD-9,"Hệ thống tự động lưu điểm khi chưa nhấn ""Send point"" – xảy ra ở tất cả loại câu hỏi",Smart,Bug,High,Ðã hoàn thành,18/04/2025,08/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
16,ESD-29,Login,Smart,Bug,High,Ðã hoàn thành,18/04/2025,28/04/2025,,Linh,Quang,ESD-49,,,,,,,,,,,,,,,,
17,ESD-30,Login _ Remember me,Smart,Bug,High,Chưa thực hiện,18/04/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
27,ESD-50,Lỗi nút Play khi mở file MP4,Smart,Bug,High,Ðã hoàn thành,25/04/2025,07/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
30,ESD-57,Ghi hình không được lưu khi user rời phòng mà không dừng ghi,Smart,Bug,High,Ðã hoàn thành,25/04/2025,13/05/2025,1,Linh,Quang,,7/5/2025,,,,,,,,,,,,,,,
43,ESD-90,Questions - Danh sách học sinh đang không tự sắp xếp lại theo điểm sau khi giáo viên chấm thủ công,Smart,Bug,High,Ðã hoàn thành,06/05/2025,05/06/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
48,ESD-98,Participants - Học sinh không có micro nhưng trong danh sách Participants hiển thị là đang bật,Smart,Bug,High,Chưa thực hiện,07/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
50,ESD-106,Question - Cột “Points” hiển thị sai điểm – không hiện đúng điểm giáo viên đã chấm thủ công,Smart,Bug,High,Ðã hoàn thành,08/05/2025,19/05/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
53,ESD-113,Divide groups - Giao diện Grid view bị lỗi khi chia lớn hơn 10 nhóm,Smart,Bug,High,Ðã hoàn thành,08/05/2025,13/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
54,ESD-115,Divide groups - Modal Members of group,Smart,Bug,High,Chưa thực hiện,12/05/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
56,ESD-123,[Teacher] - Question,Smart,Bug,High,Ðã hoàn thành,16/05/2025,05/06/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
59,ESD-127,Library - Trang bài tập bị trắng khi giáo viên vẽ lên slide,Smart,Bug,High,Ðã hoàn thành,21/05/2025,13/08/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
65,ESD-134,[Teacher] - Không thể chuyển trang bảng sau khi vẽ bằng công cụ Draw (bao gồm nút Prev/Next),Smart,Bug,High,Ðã hoàn thành,26/05/2025,05/06/2025,,Linh,Quang,,,,,,,,,,,,,,,,,
66,ESD-137,Class map - Click vào thẻ học sinh đang không hiện dropdown các thao tác,Smart,Bug,High,Chưa thực hiện,02/06/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
71,ESD-150,Divide groups - Học sinh vào lại nhóm sau khi chia nhóm thì không hiển thị đúng bảng và bị mất quyền vẽ,Smart,Bug,High,Chưa thực hiện,18/06/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
81,ESD-172,[Speaking] Học sinh gửi bài nhưng không xuất hiện trong bảng kết quả giáo viên,Smart,Bug,High,Chưa thực hiện,14/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
85,ESD-176,"[Draw][Teacher] Giáo viên chuyển trang sau khi vẽ nhưng bị giữ nét cũ, không thể chuyển trang tiếp",Smart,Bug,High,Chờ deploy,15/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
86,ESD-177,[Divide groups] Giao diện giáo viên không cập nhật trạng thái chia/thoát nhóm nếu không reload trang,Smart,Bug,High,Chờ deploy,15/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
87,ESD-178,"[Draw] Giáo viên vẽ liên tục khoảng 3 phút thì bị lỗi RTCDataChannel, học sinh không nhận được nét vẽ tiếp theo",Smart,Bug,High,Chờ deploy,15/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
88,ESD-179,[Slide] Giáo viên mở slide bị lỗi — không hiển thị nội dung slide và báo lỗi TypeError,Smart,Bug,High,Chờ deploy,16/07/2025,,,Linh,Quang,,,,,,,,,,,,,,,,,
