TEST CASES_ ,,,,,,,,,,,,,,,,,,,,,,,
,Devide group,Kết quả test trên Windown,,,Kết quả test trên Mac,,,,,,,,,,,,,,,,,,
,,Round 1,Round 2,Round 3,Round 1,Round 2,Round 3,,,,,,,,,,,,,,,,
,,Desktop,Desktop,Desktop,Chrome,Edge,Cốc Cốc,,,,,,,,,,,,,,,,
,Tổng số Test case,34,34,34,34,34,34,,,,,,,,,,,,,,,,
,Tổng số đã thực hiện,41,28,0,0,0,0,,,,,,,,,,,,,,,,
,Passed (Đạt),17,22,0,0,0,0,,,,,,,,,,,,,,,,
,Failed (chưa đạt),0,0,0,0,0,0,,,,,,,,,,,,,,,,
,No Run (chưa thực hiện),24,6,0,0,0,0,,,,,,,,,,,,,,,,
,Pending(đang chờ xử lý),0,0,0,0,0,0,,,,,,,,,,,,,,,,
,N/A( không có sẵn),0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Mã Test case
 (Test case ID)","Tiêu đề Test case
 (Test case title)",Mức độ,"Tiền điều kiện
 (Pre-condition)","Các bước thực hiện/mô tả
(Description steps)",Data,"Kết quả mong đợi
(Expected result)","Kết quả thực hiện trên Windown
 (Test result)",,,"Kết quả thực hiện trên Mac
 (Test result)",,,"Mã Lỗi
 (Bug ID)","Lưu ý
  (Notes)","Người thực hiện
  (Tester)",,,"Ngày thực thiện
  (Executed date)",,,Phiên bản của ứng dụng,,
,,,,,,,Round 1,Round 2,Round 3,Round 1,Round 1,Round 1,,,Round 1,Round 2,Round 3,Round 1,Round 2,Round 3,Round 1,Round 2,Round 3
,,,,,,,Desktop,Desktop,Desktop,Chrome,Edge,Cốc Cốc,,,,,,Desktop,Desktop,Desktop,,,
,,,,,,,,,,,,,,,,,,,,,,,
"A - 1. Màn hình 1: Màn hình tab ""Device group""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Devide group_1,Nhập số nhóm là 2 và danh sách đủ người,M,,"1. Người dùng click icon "" Class map"" 
2. Select Devide groups / or Click participant -> List -> Chọn ""Devide groups.""  
3. Click nhập Number of groups ( các trường hợp khác hợp lệ )
4. Select Confirm ",,4. Phân nhóm thành công,Passed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_2,Nhập số nhóm lớn hơn số thành viên,M,,"1. Người dùng click icon "" Class map"" 
2. Select Devide groups / or Click participant -> List -> Chọn ""Devide groups.""  
3. Click nhập Number of groups > số thành viên ( các trường hợp khác hợp lệ )
4. Select Confirm ",,4.Hiển thị lỗi hoặc không cho chia,Passed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_3,Nhập số nhóm bằng 0 hoặc số âm,M,,"1. Người dùng click icon "" Class map"" 
2. Select Devide groups / or Click participant -> List -> Chọn ""Devide groups.""  
3. Click nhập Number of groups ( các trường hợp khác hợp lệ )
4. Select Confirm ",,4.Không cho nhập/ký tự không hợp lệ,Passed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_4,Nhập số nhóm là ký tự (vd: 'abc'),,,"1. Người dùng click icon "" Class map"" 
2. Select Devide groups / or Click participant -> List -> Chọn ""Devide groups.""  
3. Click Nhập số nhóm là ký tự (vd: 'abc') 
4. Select Confirm ",,4.Không cho nhập/ký tự không hợp lệ,Passed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_5,Hiển thị placeholder ở ô number of groups,,,"1. Người dùng click icon "" Class map"" 
2. Select Devide groups / or Click participant -> List -> Chọn ""Devide groups.""  
3. Quan sát hiển thị placeholder ở ô number of groups",,"3. Hiển thị ""Enter number of groups"" / Số nhóm cần chia",Passed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_6,Nhập topic hợp lệ,,,"1. Người dùng click icon "" Class map"" 
2. Select Devide groups / or Click participant -> List -> Chọn ""Devide groups.""  
3. Click Nhập topic hợp lệ
4. Select Confirm ",,4. Lưu topic thành công,Passed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_7,Để trống topic và nhấn Confirm,,,"1. Người dùng click icon "" Class map"" 
2. Select Devide groups / or Click participant -> List -> Chọn ""Devide groups.""  
3. Không nhâp topic hợp lệ
4. Select Confirm ",,4. Vẫn confirm được và chuyển đến màn hình View group,Passed,Passed,,,,,,,,,,13/1/2026,,,,,
,Nhập topic dài hơn 255 ký tự,,,"1. Người dùng click icon "" Class map"" 
2. Select Devide groups / or Click participant -> List -> Chọn ""Devide groups.""  
3. Nhập topic dài hơn 255 ký tự
4. Select Confirm ","Mỗi người trong chúng ta đều có một hành trình riêng để khám phá và chinh phục. Đôi khi con đường không bằng phẳng, nhưng chính những khó khăn lại giúp ta trưởng thành hơn. Hãy kiên trì theo đuổi ước mơ, sống trọn vẹn từng khoảnh khắc và luôn tin rằng nỗ lực hôm nay sẽ mang lại thành công ngày mai.",,No run,No run,,,,,,,,,,13/1/2026,,,,,
Devide group_8,Nhập topic có ký tự đặc biệt,,,"1. Người dùng click icon "" Class map"" 
2. Select Devide groups / or Click participant -> List -> Chọn ""Devide groups.""  
3.Nhập topic có ký tự đặc biệt
4. Select Confirm ",,4. Cho nhập kí tự đặc biệt ,Passed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_9,"Check nhập thanh ""Search""",,,"""1. Người dùng click icon """" Class map"""" /Tool
2. Select Devide groups / or Click participant -> List -> Chọn """"Devide groups.""""  
3. Chọn một học sinh trong Group 1
4. GV nhấn mũi tên Move to 
5. Quan sát giao diện """,,4. Dropdown hiển thị rõ ràng ,Failed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_10,,,,"""1. Người dùng click icon """" Class map"""" /Tool
2. Select Devide groups  
3. Chọn một học sinh trong Group 1
4. GV nhấn mũi tên Move to . Tại input Search click nhập tìm kiếm 
5. Quan sát giao diện ",,5. Click vào ô search để tìm kiếm được ,Failed,No run,,,,,,,,,,13/1/2026,,,,,
Devide group_11,Check dropdown Move to HS group A sang Group B ,,,"1. Người dùng click icon "" Class map"" / Tool
2. Select Devide groups.  GV chia Mumber of group SL: 2
3. Chọn một học sinh trong Group 1.
4. Click dropdown Move to.
5.Quan sát danh sách group hiển thị trong dropdown.",,"5.Dropdown Move to phải:

 Không hiển thị Group hiện tại (Group 1)
hoặc

Hiển thị nhưng disable (không chọn được)

Chỉ cho phép chọn Group khác (Group 2, Group 3…).",Failed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_12,Check icon Edit Đổi tên,,"GV đã vào lớp, có ít nhất 2 group","1. GV click icon Class Map/ Tool
2. Chọn Divide Groups
3. GV click icon Edit và đổi tên Group (VD: Group 1 → Group A)
4. Chọn 1 HS bất kỳ trong group
5. Click dropdown Move to
6. Quan sát danh sách group",,6.Dropdown Move to phải hiển thị đúng tên group mới,Failed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_13,,,,"1. GV click icon Class Map/ Tool
2. Chọn Divide Groups
3. GV click icon Edit và đổi tên Group (VD: Group 1 → Group A)
4. GV nhấn Add group
5. Quan sát danh sách group",,"5.Tên Group đã đổi phải được lưu
Chỉ Group mới thêm sử dụng tên mặc định
Các Group trước đó giữ nguyên tên đã chỉnh sửa",Failed,No run,,,,,,,,,,13/1/2026,,,,,
Devide group_14,Check button Add group,,,"1. GV click icon Class Map/ Tool
2. Chọn Divide Groups
3. Click Add Group → Group mới được tạo
4. Click Add Group lần 2
5. Quan sát giao diện",,5.Mỗi lần click Add Group phải tạo thêm 1 group mới,Failed,Passed,,,,,,,,,,13/1/2026,,,,,
Devide group_15,Check thanh Scroll,,,"1. GV click icon Class Map/ Tool
2. Chọn Divide Groups
3. GV scroll xem các danh sách group
4. Quan sát giao diện",,"4. Khi scroll, các nút và thanh chức năng không ảnh hưởng lẫn nhau, layout cố định và hiển thị đúng",Failed,Passed,,,,,,,,,,13/1/2026,,,,,
