STT,Product,Tính năng,Yêu cầu,Trạng thái,Kết luân,Mô tả
1,"Phần mềm Lớp học Stem cho Giáo viên (Teacher's Stem Room)

",,,,,
1.1,,"Tính năng Tổ chức Lớp học:",,,,
1.1.1,,,Tạo và Quản lý phòng học (Live Rooms): Giáo viên quản lý các thông tin như Tên lớp học và Thời lượng. ,Đã có,,
1.1.2,,,"Thư viện file: thư viện để quản lý các học liệu giảng dạy (Slide, trò chơi, phiếu bài tập, video, audio,...). Thư viện có tính năng tạo thư mục.",Đã có,,
1.1.3,,,"- Quản lý các buổi học cho lớp học, tự động sinh ra một mã lớp, Giáo viên chỉ cần sao chép và gửi mã này cho học sinh để tham gia. ",Đã có,,
1.1.4,,,"- Chế độ giao diện (Dark/Light Mode): 2 chế độ hiển thị Sáng và Tối để phù hợp với môi trường, bảo vệ mắt và theo sở thích của người dùng.",Đã có,,
1.2,,"Tính năng Quản lý & Trình chiếu Nội dung (Thí nghiệm ảo, Slide tương tác,....):",,,,
1.2.1,,,"- Thư viện học liệu số (Library): thư viện tài liệu giảng dạy hỗ trợ đa định dạng (bài giảng tương tác, thí nghiệm ảo, trò chơi, bài tập, video, audio, PDF, và ảnh). Dễ dàng tìm kiếm và chọn tài liệu.",Đã có,,search khoong hooatj động
1.2.2,,,"- Tải và trình chiếu tài liệu trực tiếp: Giáo viên có thể tải lên các loại tệp tin đa dạng như Slide, video, audio từ máy tính. Các file sau khi tải lên có thể được trình chiếu ngay trong lớp học.",Đã có,Không đạt,tính năng đang không hoạt động
1.2.3,,,"- Trình chiếu Nội dung Đa phương tiện (Slide, Video, Hình ảnh,...)",Đã có,,
1.3,,Tính năng bảng trắng:,,,,
1.3.1,,,"- Cung cấp giáo viên bảng trắng, học sinh theo dõi được toàn bộ thông tin giáo viên thao tác trên bảng trắng.",Đã có,,
1.3.2,,,"- Giáo viên có thể vẽ, gõ văn bản, chèn hình khối, thay đổi kích thước, màu sắc, kiểu hiển thị văn bản và vị trí các đối tượng này trên bảng trắng.",Đã có,,
1.3.3,,,- Giáo viên có thể chèn hình ảnh lên bảng trắng,Đã có,,
1.3.4,,,"- Trên bảng trắng có thể thực hiện sao chép các đối tượng, nhân bản các đối tượng, thực hiện undo, redo (các thao tác hoàn tác) các hành động đã thực hiện.",Đã có,,
1.3.5,,,- Có công cụ bút xóa cho bảng trắng. Có thể chọn nhiều đối tượng để xoá.,Đã có,Không đạt,"chỉ có chọn 1 đối tượng để xóa, ko có chọn nhiều đối tượng"
1.3.6,,,- Hỗ trợ 5+ bảng trắng giúp giáo viên nhiều không gian trình bày,Đã có,,
1.3.7,,,- Có thể linh hoạt chuyển giữa các bảng trắng mà không mất nội dung.,Đã có,,
1.3.8,,,"- Đồng hồ bấm giờ (Stopwatch): đồng hồ đếm ngược có thể cài đặt thời gian tùy chỉnh. Dùng để kiểm soát thời gian làm bài, thảo luận hoặc các hoạt động trong lớp.",Đã có,Không đạt,
1.4,,"Tính năng chia sẻ file (audio, video, chia sẻ màn hình,...):",,,,
1.4.1,,,- Tính năng Chia sẻ màn hình (Share Screen): chia sẻ toàn bộ màn hình máy tính hoặc chỉ chia sẻ cửa sổ của một ứng dụng cụ thể.,Đã có,,
1.4.2,,,"- Tính năng chia sẻ học liệu, bài giảng cho cả lớp",Đã có,Không đạt,
1.4.3,,,"- Giáo viên có thể chia sẻ các học liệu, bài giảng từ thư viện cá nhân hoặc tải lên từ máy tính.",Chưa có,,
1.4.4,,,"- Các học liệu hỗ trợ định dạng phổ biến word, pdf, powerpoint..",Đã có,,
1.4.5,,,"- Giáo viên có thể chuyển trang các học liệu đang chia sẻ, ghi chú, vẽ trên học liệu. Các thao tác, nội dung ghi chú đồng bộ tới màn hình học sinh.",Đã có,,
1.4.6,,,"- Đối với bài giảng tương tác do giáo viên tự soạn ở thư viện, giáo viên có thể chia sẻ giảng dạy chung cho toàn lớp hoặc chia sẻ cho từng học sinh thực hành, giáo viên có thể theo dõi và xem kết quả thực hành của từng học sinh.",Đã có,,
1.5,,"Công cụ giao Bài tập, Dự án cho học sinh, Nhóm học sinh:",,,,
1.5.1,,,"- Công cụ giao bài tập, dự án cho học sinh: giáo viên giao cho học sinh bài dưới dạng thí nghiệm, lắp ghép vật lý, trò chơi trong thư viện file. Học sinh thực hiện trực tiếp trên máy, hệ thống thống kê báo cáo kết quả.",Đã có,,
1.5.2,,,"- Đánh giá kết quả tự động: cho điểm tự động dựa vào đáp án đã cài đặt sẵn.",Đã có,,
1.5.3,,,- Tính năng cho điểm và khen thưởng: Giáo viên có thể cho điểm từng học sinh thông qua menu tương tác hoặc cho điểm cả lớp/nhiều học sinh cùng lúc. Có thể cho điểm sau khi học sinh trả lời câu hỏi.,Đã có,,
1.5.4,,,- Có bảng xếp hạng điểm cho lớp học trong buổi học để khích lệ học sinh.,Đã có,Không đạt,
1.5.5,,,- Chia nhóm học tập: Giáo viên có thể tạo các nhóm và kéo-thả học sinh vào các nhóm. Cung cấp tính năng chia nhóm ngẫu nhiên.,Đã có,,
1.5.6,,,- Xuất Báo cáo Lớp học: Cung cấp báo cáo tổng quan về tiến độ của toàn lớp.,Chưa có,,
2,Phần mềm Quản lý dạy học Stem cho Giáo viên (Teacher's Stem LMS),,,,,
2.1,,Module Quản lý tài khoản:,,,,
2.1.1,,,"- Quản lý tài khoản Giáo viên & Học sinh: Cho phép tạo mới, cập nhật, xóa, và quản lý trạng thái hoạt động (hoạt động hoặc tạm dừng) cho tài khoản giáo viên và học sinh.",Đã có,,
2.1.2,,,- Chức năng cho phép quản trị viên xóa/khóa/phục hồi hiệu lực người dùng.,Đã có,,
2.2,,Module Quản lý Lớp học:,,,,
2.2.1,,,- Tạo và quản lý lớp học.,Đã có,,
2.2.2,,,"- Gán Giáo viên phụ trách, danh sách học sinh vào lớp.",Đã có,,
2.2.3,,,- Gán nội dung vào lớp học.,Chưa có,,
2.2.4,,,- Tạo và quản lý lịch dạy Live Room.,Đã có,,
2.2.5,,,- Đồng bộ với Phần mềm Tổ chức dạy học.,Đã có,,
2.2.6,,,- Quản lý điểm danh,Đã có,,
2.3,,Module Quản lý nội dung (Thư viện của tôi):,,,,
2.3.1,,,"- Quản lý thư mục, quản lý file nội dung.",Đã có,,
2.3.2,,,"- Upload Nội dung các định dạng: word, PDF, Slide PPT, video, audio, ảnh,..",Đã có,,
2.3.3,,,Tích hợp Công cụ xây dựng và thiết kế học liệu Stem:,Chưa có,,
2.3.4,,,"Công cụ thiết kế Thí nghiệm ảo
",Chưa có,,
2.3.5,,,Công cụ thiết kế Bài giảng tương tác,Chưa có,,
2.3.6,,,Công cụ thiết kế Phiếu bài tập tương tác,Chưa có,,
2.3.7,,,Công cụ thiết kế Trò chơi tương tác,Chưa có,,
3,Phần mềm Tạo Nội dung tương tác,,,,,
3.1,,"Công cụ tạo Nội dung Stem bằng Lập trình kéo thả (Thí nghiệm ảo, Vật thể số, Bài giảng tương tác, Trò chơi tương tác,...):",,,,
3.1.1,,,Cho phép giáo viên tạo các nội dung tương tác dễ dàng bằng ngôn ngữ kéo thả với giao diện thân thiện.,Đã có,,
3.1.1,,,"Từ các câu lệnh có sẵn trên giao diện, giáo viên kết hợp các câu lệnh với nhau để tạo ra một nội dung tương tác hấp dẫn.",Đã có,,
3.1.1,,,"Có đầy đủ các cấu trúc của ngôn ngữ lập trình như vòng lặp, điều kiện logic, các biến toán cục, cục bộ, biến đối tượng, hàm, tin nhắn...",Đã có,,
3.1.1,,,"Cung cấp đầy đủ các sự kiện và hành động như sự kiện va chạm, sự kiện click, sự kiện đối tượng đi vào vùng chứa, sự kiện nổi... các hành động như đổi màu, thay đổi văn bản, phóng to thu nhỏ, di chuyển theo các vận tốc tùy biến.",Đã có,,
3.2,,Công cụ văn bản:,,Đã có,,
3.2.1,,,Cho phép giáo viên sử dụng công cụ để tạo ra các hộp văn bản với đầy đủ các loại phông chữ.,Đã có,,
3.3,,Công cụ hình khối:,,Đã có,,
3.3.1,,,"Cho phép giáo viên tạo ra các loại hình khối khác nhau, dễ dàng tùy chỉnh màu sắc và tương tác, tạo hiệu ứng xuất hiện đẹp mắt cho hình khối. Cung cấp các hình khối đa dạng (tròn, vuông, mũi tên, lời thoại, đám mây, ngoặc,...). Có các điểm điều khiển thay đổi góc bo, hình dạng hình khối.",Đã có,,
3.4,,Công cụ vẽ:,,Đã có,,
3.4.1,,,"Cho phép giáo viên vẽ ra các đối tượng, đường thẳng, đường mũi tên... theo mục đích sử dụng.",Đã có,,
3.5,,Công cụ tải lên:,,Đã có,,
3.5.1,,,"Giáo viên sử dụng để tải lên các đối tượng media như hình ảnh, hình nền, phim hình, audio, video từ máy tính cá nhân lên thiết kế",Đã có,,
3.6,,Công cụ bảng:,,Đã có,,
3.6.1,,,"Giáo viên sử dụng để tạo các bảng dữ liệu với danh sách mẫu bảng theo chủ đề thiết kế có sẵn hoặc giáo viên có thể tự tạo một bảng dữ liệu với phong cách cá nhân chỉ với hành động đơn giản là nhập số hàng, số cột và điều chỉnh màu sắc theo ý đồ cá nhân.",Đã có,,
3.7,,Công cụ biểu đồ:,,Đã có,,
